CompanyName,Website,Linkedin,Description,Industry,DurationInRole,Status,Notes,Search account,Website,EmplyeeCount,Fullname,schoolname,schoolname2,schoolname3,CompanyName,CompanyName2,CompanyName3,Owner,Created
NEAT Protect,none.neatprotect,https://www.linkedin.com/in/ACwAAA6SBBABq5xlCx9QO18DpobC0TRM5OqOGwc/,"Neat is the leading embedded insurance Insurtech providing white label and tailor made insurance solutions to merchants across Europe. 
With its AI powered technology Neat allows you to increase revenues, create customer loyalty and repeat sales. 
Neat is the hassle-free product protection solution for your customers. 
The company covers more than 1.2 million clients across 1700 distribution partners and has raised 60m€ in funding since its creation.
Get in touch! hello@neat.eu
",Fabien Cazes,Insurance,,87,,,,,,,,,,2025-10-15,,
Fargar,none.fargar,https://www.linkedin.com/in/ACwAADUmiiEB4j7BVx2Inben9I-16jbBFZuJ1mE/,"Fargar est une plateforme qui permet de mettre en lien des clients avec des services d'usinage, d'impression 3D, de gravure laser, d'électronique, d'injection plastique et autres...",Tom Rubio,Manufacturing,,2,,,,,,,,,,2025-10-22,,
Ephie Industries,https://www.ephie-industries.com/,https://www.linkedin.com/in/ACwAAAuETzEB5Nw4lXsSxmnbG3g5US6dq6CZnXw/,"Entrez dans une nouvelle dimension

Créé en 2022, le Groupe Ephie Industrie regroupe 3 sociétés industrielles : 
- EAC Innovation & Métal
- GRAINDORGE Traitements de surfaces
- BOUVIER Signalétique

POURQUOI ÉPHIE INDUSTRIES ?
Jeu autour du nombre d’or = φ = « la divine proportion »

Le nombre d’or est une constante universelle apparaissant absolument partout :
dans la nature (fleurs, fruits, légumes...), l’architecture, l’art et les sciences...
Il est un gage de perfection et d’harmonie.

EXIGENCE, EXCEPTION & EXPERTISE
sont les maîtres mots du groupe ÉPHIE Industries,
structure innovante et rigoureuse tournée vers l’avenir.

UNITÉ & HARMONIE
Un bloc brut donnant du caractère à la marque mère
& des entités filleules tout en finesse comme taillées dans la matière.",Frédéric POTTIER,Manufacturing,,7,,,,,,,,,,2025-10-22,,
Reed Material,none.reedmaterial,https://www.linkedin.com/in/ACwAABripkoBLLVUOftK2yeA1KDHX4jzPoa0THs/,"Reed Material associe la création d'une nouvelle filière agricole à un procédé industriel de rupture pour concevoir un matériau biosourcé, autolié, sans bois ni colle, capable de remplacer durablement le bois dans ses usages panneaux.",Basile Millet,Manufacturing,,3,,,,,,,,,,2025-10-22,,
Hector AI,none.hectorai,https://www.linkedin.com/in/ACwAADz6PZsBaDIA3JqMSwphR7ls-RUdDmm-Kb8/,"Hector AI augmente votre pratique contentieuse.

Notre plateforme analyse automatiquement vos dossiers, identifie les moyens juridiques pertinents, et génère vos actes juridiques directement dans Word. Pensée spécifiquement pour le contentieux.

Solution entièrement sur-mesure : nous personnalisons Hector à votre cabinet — votre style de rédaction, votre mise en forme, vos types d'actes. 

Incubés par Sciences Po Paris. 100% hébergé en France, conforme RGPD.",Matthieu Kaeppelin,Software Development,,0,,,,,,,,,,2025-10-16,,
Agentice,none.agentice,https://www.linkedin.com/in/ACwAAAaAkQwB-cRkAps3vYW-EAfZdigH6cHgYgM/,,Axel Viard,Software Development,,3,,,,,,,,,,2025-10-18,,
OwnTrack,none.owntrack,https://www.linkedin.com/in/ACwAAADzHWoBebjV09a73nPxscGEmfccxQGpZAc/,"Fini les documents éparpillés, les process improvisés et les intégrations bancales. 
Place à des parcours collaborateurs fluides, automatisés, conçus pour soutenir votre croissance.
Notre plateforme connecte RH, managers et équipes aux informations clés — au bon moment.
Onboarding, mobilité, offboarding… chaque étape clef de vos employés devient une expérience maîtrisée et scalable.",Karine Marini,Software Development,,3,,,,,,,,,,2025-10-18,,
Répondia,none.répondia,https://www.linkedin.com/in/ACwAADREIbgBq4QvkYxQr6OZLPTxb-yWINv4zZQ/,"Repondia allows top-tier hospitality groups to significantly improve guest experience and booking requests with a smart WhatsApp assistant.

For each missed call detected, Repondia connects with the client via WhatsApp to collect booking details, answer questions, and notify teams.

To this day, by being equipped in dozens of venues across Europe, Repondia has managed to save more than a thousand booking requests, representing hundreds of thousands of euros, while helping restaurant crews handle a huge number of missed calls easily.

Repondia has been a success everywhere it has been installed!

Feel free to reach out for any info!",Natan Darhi,Software Development,,3,,,,,,,,,,2025-10-20,,
Publicit,none.publicit,https://www.linkedin.com/in/ACwAADUgulwBY8E5fGJZKmeS1IXXVnia7AOQ8lA/,,Felix Müller,Software Development,,0,,,,,,,,,,2025-10-22,,
CLICKNCRYPT,,https://www.linkedin.com/in/ACwAABU0vDQBibhqltU-0KC4xVDlGKDBkgZTBL4/,,Kevin Legavre,Software Development,,,,,,,,,,,,2025-10-22,,
